song    ,band    ,album
Jagged,Old 97's,Hit By A Train: The Best Of Old 97's
Shiva Bowl Shuffle,League Cast,The League (Music from the Original TV Series)
Wicked Campaign,Modest Mouse,Strangers to Ourselves
MIDDLE CHILD,J. Cole,MIDDLE CHILD
A Lull In Traffic,The Gloria Record,A Lull In Traffic
One Chance,Modest Mouse,Good News For People Who Love Bad News
Education,Modest Mouse,We Were Dead Before The Ship Even Sank
Savory,Jawbox,For Your Own Special Sweetheart
iSpy (feat. Lil Yachty),KYLE,iSpy (feat. Lil Yachty)
A Bye,The Gloria Record,A Lull In Traffic
Cut Chemist Suite,Ozomatli,Ozomatli
I Came As a Rat,Modest Mouse,The Moon & Antarctica
Yobagoya,Jon Lajoie,The League (Music from the Original TV Series)
Old China,Gomez,5 Album Set (Bring It On/Liquid Skin/In Our Gun/Split the Difference/Five Men in a Hut)
Bukowski,Modest Mouse,Good News For People Who Love Bad News
No Cigar,Millencolin,Pennybridge Pioneers
Wild Packs of Family Dogs,Modest Mouse,The Moon & Antarctica
Out of Gas,Modest Mouse,The Lonesome Crowded West
Oppenheimer,Old 97's,Fight Songs
We've Got Everything,Modest Mouse,We Were Dead Before The Ship Even Sank
Half Right,Heatmiser,Mic City Sons
Ionizes & Atomizes,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About
Gravity Rides Everything,Modest Mouse,The Moon & Antarctica
Pete's Tiny Erect Dick,Jon Lajoie,The League (Music from the Original TV Series)
Brain Stew,Green Day,Insomniac
God is an Indian and You're an Asshole,Modest Mouse,Strangers to Ourselves
Interstate 8,Modest Mouse,Building Nothing out of Something
The Science of Selling Yourself Short,Less Than Jake,Anthem
All My Best Friends Are Metalheads,Less Than Jake,Hello Rockview
Not Worth It,Harry Mack,Contents Under Pressure
Down Stage,Funland,The Funland Band
Die Like A Satellite,Funland,The Funland Band
The Good Times Are Killing Me,Modest Mouse,Good News For People Who Love Bad News
Perfect Disguise,Modest Mouse,The Moon & Antarctica
People Who Died,The Jim Carroll Band,Geno: 1980 Rock
Fellowship,The Nixons,Foma
The Tortoise and the Tourist,Modest Mouse,Strangers to Ourselves
Dance Hall,Modest Mouse,Good News For People Who Love Bad News
Superman's Dead,Our Lady Peace,A Decade (with bonus tracks)
Doin' the Cockroach,Modest Mouse,The Lonesome Crowded West
Holy Calamity [Bear Witness II],Handsome Boy Modeling School,So...How's Your Girl?
Jayou,Jurassic 5,J 5 (Deluxe Edition)
Overdue,The Get Up Kids,On a Wire
Tiny Cities Made Of Ashes,Modest Mouse,The Moon & Antarctica
Say It To Me Now,Glen Hansard,Music From The Motion Picture Once
You Get What You Give,New Radicals,Maybe You've Been Brainwashed Too
How We Operate,Gomez,How We Operate
Pink Moon,Nick Drake,Pink Moon
Teeth Like God's Shoeshine,Modest Mouse,The Lonesome Crowded West
Grave's Disease,Matt Pond PA,Emblems
East Coast E.,Matt Pond PA,Emblems
Warning,Green Day,Warning
Polar Opposites,Modest Mouse,The Lonesome Crowded West
Exit Does Not Exist,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About
Such a Loser,Garfunkel and Oates,Secretions
Krampus Carol,Jon Lajoie,The League (Music from the Original TV Series)
I'm Inside Me,Jon Lajoie,The League (Music from the Original TV Series)
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe)
Victoria,Old 97's,Hit By A Train: The Best Of Old 97's
Lies,Glen Hansard,Music From The Motion Picture Once
March Of The Pigs,Nine Inch Nails,The Downward Spiral
I Was Born In Omaha,The Gloria Record,Start Here
Concrete Schoolyard,Jurassic 5,J 5 (Deluxe Edition)
Improvise,Jurassic 5,J 5 (Deluxe Edition)
Broke,Modest Mouse,Building Nothing out of Something
Los Angeles,Frank Black,Frank Black
Trailer Trash,Modest Mouse,The Lonesome Crowded West
Black Cadillacs,Modest Mouse,Good News For People Who Love Bad News
You Were Wrong,Loose Fur,Loose Fur
Interlude (Milo),Modest Mouse,Good News For People Who Love Bad News
Deep Sea Diving,Harry Mack,Contents Under Pressure
Foma,The Nixons,Foma
New Hampshire,Matt Pond PA,Emblems
My God Has A Telephone,The Flying Stars Of Brooklyn NY,My God Has a Telephone
Naveed,Our Lady Peace,A Decade (with bonus tracks)
Alone Down There,Modest Mouse,The Moon & Antarctica
Redundant,Green Day,Nimrod
Dashboard,Modest Mouse,We Were Dead Before The Ship Even Sank
Pups to Dust,Modest Mouse,Strangers to Ourselves
Nice Guys Finish Last,Green Day,Nimrod
Coyotes,Modest Mouse,Strangers to Ourselves
Anchor Baby,Jon Lajoie,The League (Music from the Original TV Series)
Breakthrough,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About
The Wall,Grupo Fantasma,American Music: Volume 7
Last Song,Matt Pond PA,Emblems
Life,Our Lady Peace,A Decade (with bonus tracks)
Stereo (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
Bloods on Fire,Pinback,Summer in Abaddon
Alec Eiffel,Pixies,Trompe Le Monde
Wanna Mess You Around - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.
Scent - Bonus Track,Pinback,Summer in Abaddon
Slowly Typed - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.
"It's A Rainy Day, Sunshine Girl - (Recorded live at KCRW's Morning Becomes Eclectic program February 25, 1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
Barnes,Pinback,Autumn of the Seraphs
3 x 0,Pinback,Summer in Abaddon
Make Me A Chevy,The Promise Ring,Nothing Feels Good
Shag,Pinback,Pinback
Embassy Row Psych Intro - (Unreleased Song),Pavement,Brighten the Corners: Nicene Creedence Ed.
Boo,Pinback,Blue Screen Life
We Are Underused,Pavement,Brighten the Corners: Nicene Creedence Ed.
Birds In The Majic Industry - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.
Comatose - Brendan O'Brien Mix,Pearl Jam,Pearl Jam (2017 Mix)
The Yellow Ones,Pinback,Summer in Abaddon
Starlings of the Slipstream,Pavement,Brighten the Corners
Where Is My Mind?,Pixies,Surfer Rosa (Remastered)
Date with Ikea,Pavement,Brighten the Corners
State of Love and Trust,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
Starlings Of The Slipstream,Pavement,Brighten the Corners: Nicene Creedence Ed.
Stereo,Pavement,Brighten the Corners: Nicene Creedence Ed.
New Friends,Pinegrove,Cardinal (Expanded Edition)
Cadmium,Pinegrove,Cardinal (Expanded Edition)
Penelope,Pinback,Blue Screen Life
Misery Business,Paramore,Riot!
Vamos (Surfer Rosa),Pixies,Surfer Rosa (Remastered)
Subbing For Eden,Pinback,Autumn of the Seraphs
"Destroy Mater Dei - (Recorded live at KCRW's Morning Becomes Eclectic program February 25, 1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
Given to Fly,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
Shady Lane/J Vs. S (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
Fortress,Pinback,Summer in Abaddon
Non Photo-Blue,Pinback,Summer in Abaddon
Visiting,Pinegrove,Cardinal (Expanded Edition)
Torch,Pinback,Autumn of the Seraphs
Off By 50,Pinback,Autumn of the Seraphs
And Then (The Hexx) - [Extended Version of B-side],Pavement,Brighten the Corners: Nicene Creedence Ed.
Brick Is Red,Pixies,Surfer Rosa (Remastered)
Break My Body,Pixies,Surfer Rosa (Remastered)
From Nothing To Nowhere,Pinback,Autumn of the Seraphs
Cut Your Hair (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
Blue Hawaiian,Pavement,Brighten the Corners: Nicene Creedence Ed.
Type Slowly,Pavement,Brighten the Corners: Nicene Creedence Ed.
"Grave Architecture - (BBC John Peel session August 21, 1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
Is This Thing On?,The Promise Ring,Nothing Feels Good
"The Classical - (BBC John Peel session August 21, 1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
West,Pinback,Blue Screen Life
Fuck Your Stuff,P.O.S,We Don't Even Live Here [Deluxe Edition]
Loro,Pinback,Pinback
Getaway,Pearl Jam,Lightning Bolt
Offline P.K.,Pinback,Blue Screen Life
This Red Book,Pinback,Summer in Abaddon
Type Slowly (Live) - [From “Tibetan Freedom Concert“],Pavement,Brighten the Corners: Nicene Creedence Ed.
Do the Evolution,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
Size of the Moon,Pinegrove,Cardinal (Expanded Edition)
Transport Is Arranged,Pavement,Brighten the Corners
Lightning Bolt,Pearl Jam,Lightning Bolt
Bone Machine,Pixies,Surfer Rosa (Remastered)
Old To Begin,Pavement,Brighten the Corners: Nicene Creedence Ed.
New Friends (Schuylkill Session),Pinegrove,Cardinal (Expanded Edition)
Tony's Theme,Pixies,Surfer Rosa (Remastered)
Old Friends,Pinegrove,Cardinal (Expanded Edition)
Hurley,Pinback,Pinback
Harness Your Hopes - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.
Date w/IKEA,Pavement,Brighten the Corners: Nicene Creedence Ed.
Passat Dream,Pavement,Brighten the Corners
Fin,Pavement,Brighten the Corners: Nicene Creedence Ed.
Transport Is Arranged,Pavement,Brighten the Corners: Nicene Creedence Ed.
No Tan Lines - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.
"Neil Hagerty Meets Jon Spencer In A Non-Alcoholic Bar (Recorded live at KCRW's Morning Becomes Eclectic program February 25, 1997) - (KCRW February 25,1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
Once - 2004 Remix,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
Not for You,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
Young Folks,Peter Bjorn and John,Writer's Block
I Bleed,Pixies,Doolittle
Your Sickness,Pinback,Blue Screen Life
Can't Deny Me,Pearl Jam,Can't Deny Me
Devil You Know,Pinback,Autumn of the Seraphs
Crutch,Pinback,Pinback
Grey Machine,Pinback,Some Offcell Voices
Lyon,Pinback,Pinback
Shady Lane,Pavement,Brighten the Corners
Byzantine,Pinback,Pinback
How We Breathe,Pinback,Autumn of the Seraphs
Here (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
Tripoli,Pinback,Pinback
I Got Id,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
Bouquet,Pinback,Autumn of the Seraphs
Syracuse,Pinback,Summer in Abaddon
I'm Amazed,Pixies,Surfer Rosa (Remastered)
Walters,Pinback,Autumn of the Seraphs
Severed Hand - Brendan O'Brien Mix,Pearl Jam,Pearl Jam (2017 Mix)
Gold Soundz (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
Fight This Generation (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
Seville,Pinback,Blue Screen Life
Gigantic,Pixies,Surfer Rosa (Remastered)
The Hatenaughts of Melancholy Wall - Bonus Track,Pinback,Autumn of the Seraphs
Who You Are,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
"Winner Of The - (BBC Evening Session January 15, 1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
Yellow Ledbetter,Pearl Jam,Jeremy
Embassy Row,Pavement,Brighten the Corners: Nicene Creedence Ed.
X.I.Y.,Pinback,Blue Screen Life
Talby,Pinback,Blue Screen Life
Blue Harvest,Pinback,Autumn of the Seraphs
I'm A Pretty Lady,Pinback,Autumn of the Seraphs - Bonus EP
Prog,Pinback,Blue Screen Life
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
Spit On A Stranger (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
Debaser,Pixies,Doolittle
Charborg,Pinback,Pinback
Sender,Pinback,Summer in Abaddon
Type Slowly,Pavement,Brighten the Corners
Embassy Row,Pavement,Brighten the Corners
Rousseau,Pinback,Pinback
Cactus,Pixies,Surfer Rosa (Remastered)
Beautiful As A Butterfly - (Unreleased Song),Pavement,Brighten the Corners: Nicene Creedence Ed.
Why Did Ever We Meet,The Promise Ring,Nothing Feels Good
Soaked,Pinback,Summer in Abaddon
Mind Your Manners,Pearl Jam,Lightning Bolt
Westie Can Drum - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.
Good To Sea,Pinback,Autumn of the Seraphs
Hey,Pixies,Doolittle
Versailles,Pinback,Pinback
Passat Dream,Pavement,Brighten the Corners: Nicene Creedence Ed.
Autumn of the Seraphs,Pinback,Autumn of the Seraphs - Bonus EP
Gouge Away,Pixies,Death To The Pixies
Then Again,Pinegrove,Cardinal (Expanded Edition)
Wave of Mutilation,Pixies,Doolittle
Cataracts - (Unreleased Song),Pavement,Brighten the Corners: Nicene Creedence Ed.
"Maybe Maybe - (Recorded live at KCRW's Morning Becomes Eclectic program February 25, 1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
Waveform,Pinegrove,Cardinal (Expanded Edition)
Said the Spider to the Fly (MP3),The Paper Chase,God Bless Your Black Heart
Broken Face,Pixies,Surfer Rosa (Remastered)
Old Friends (Schuylkill Session),Pinegrove,Cardinal (Expanded Edition)
We Are Underused,Pavement,Brighten the Corners
Old to Begin,Pavement,Brighten the Corners
Such Great Heights (Performed by Iron & Wine) - Remastered,The Postal Service,Give Up (Deluxe 10th Anniversary Edition)
Us and Them,Pink Floyd,The Dark Side of the Moon
Kylie,Pinback,Autumn of the Seraphs - Bonus EP
"Date w/IKEA - (BBC John Peel session August 21, 1997)",Pavement,Brighten the Corners: Nicene Creedence Ed.
Waveform (Demo),Pinegrove,Cardinal (Expanded Edition)
You'll Never Leave Harlan Alive,Patty Loveless,Mountain Soul
Perfect Lines,The Promise Ring,Nothing Feels Good
Cut Your Hair,Pavement,Quarantine The Past: The Best Of Pavement
Breath,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
U-Mass,Pixies,Trompe Le Monde
Gold Soundz,Pavement,"Crooked Rain, Crooked Rain"
Cherry Area - (B-side),Pavement,Brighten the Corners: Nicene Creedence Ed.
Shady Lane/J Vs. S,Pavement,Brighten the Corners: Nicene Creedence Ed.
Immortality,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
In The Mouth A Desert (Remastered),Pavement,Quarantine The Past: The Best Of Pavement
The Long Road,Pearl Jam,Merkin Ball
Montaigne,Pinback,Pinback
Unthought Known,Pearl Jam,Backspacer
Tres,Pinback,Blue Screen Life
Red & Blue Jeans,The Promise Ring,Nothing Feels Good
Fin,Pavement,Brighten the Corners
Life Wasted - Brendan O'Brien Mix,Pearl Jam,Pearl Jam (2017 Mix)
Something Against You,Pixies,Surfer Rosa (Remastered)
Stereo,Pavement,Brighten the Corners
AFK,Pinback,Summer in Abaddon
Concrete Seconds,Pinback,Blue Screen Life
Big Wave - Brendan O'Brien Mix,Pearl Jam,Pearl Jam (2017 Mix)
BBTone,Pinback,Blue Screen Life
Chaos Engine,Pinback,Pinback
Aphasia,Pinegrove,Cardinal (Expanded Edition)
Blue Hawaiian,Pavement,Brighten the Corners
Corduroy,Pearl Jam,rearviewmirror (greatest hits 1991-2003)
Grounds for Divorce,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
The National People's Scare,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Add It Up - 2002 Remastered Version,Violent Femmes,Violent Femmes
Circles,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Ticker-tape of the Unconscious,Stereolab,Dots And Loops
Pot Kettle Black,Wilco,Yankee Hotel Foxtrot
A Shot in the Arm,Wilco,Summerteeth
Pink Chimneys,The Promise Ring,Nothing Feels Good
Starboy,The Weeknd,Starboy
Kissing Families,Silversun Pickups,Pikul
Skips A Beat (Over You),The Promise Ring,Very Emergency
Take On Me,Reel Big Fish,The Best Of Us For The Rest Of Us
2021,Vampire Weekend,Harmony Hall / 2021
Ladies and Gentlemen We Are Floating in Space,Spiritualized,Ladies & Gentlemen We Are Floating In Space
Soft Heart,Slow Roosevelt,Starving Saint Nick
Everybody Wants To Rule The World,Tears For Fears,Shout: The Very Best Of Tears For Fears
Moving Mountains,Thrice,"The Alchemy Index, Vol. 3 & 4: Air & Earth"
Super Bon Bon,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Come Around - Radio Edit,Rhett Miller,The Instigator
Digital Sea,Thrice,"The Alchemy Index, Vols. 1 & 2: Fire & Water"
Fancy Claps,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
The Idiot Kings,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Don't Get 2 Close (2 My Fantasy),Ween,Pure Guava
Birdhouse in Your Soul,They Might Be Giants,Flood
You Are My Face,Wilco,Sky Blue Sky
Machine Head,Slow Roosevelt,Starving Saint Nick
Echoes,The Rapture,Echoes
New Tokyo Is Calling,The Stereo,No Traffic
True - Single Edit,Spandau Ballet,Gold - The Best of Spandau Ballet
Chicago,Sufjan Stevens,Illinois
Dinner Bells - EP Version,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
So Many People In The Neighborhood,Ween,Quebec
Byegone,Volcano Choir,Repave
Ocean Man,Ween,The Mollusk
New Noise,Refused,The Shape Of Punk To Come
Ocean,Sebadoh,Harmacy
Istanbul (Not Constantinople),They Might Be Giants,Flood
I Burn,Toadies,Rubberneck
Prisoner of Mars,Stereolab,Dots And Loops
Seven - Remastered,Sunny Day Real Estate,Diary (2009 Edition)
Sugar Free Jazz,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
All I Want Is More - Best Of,Reel Big Fish,A Best Of Us For The Rest Of Us - Bigger Better Deluxe Digital Version
Either Way,Wilco,Sky Blue Sky
Poop Ship Destroyer,Ween,Pure Guava
I'll Believe in Anything,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
In Circles - Remastered,Sunny Day Real Estate,Diary (2009 Edition)
High And Dry,Radiohead,The Bends
Shine a Light,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Big Business,Slow Roosevelt,Starving Saint Nick
Dr. Rock,Ween,The Pod
I Got A Girl,Tripping Daisy,I Am An Elastic Firecracker
It's Nice to Know You Work Alone,Silversun Pickups,Swoon
Je suis venu te dire que je m'en vais,Serge Gainsbourg,Vu de l'extérieur
Wish Fulfillment,Sonic Youth,Dirty
$300,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Misunderstood,Wilco,Being There
How Nothing Feels,The Promise Ring,Nothing Feels Good
Cake,Slow Roosevelt,Throw Away Your Stereo
Absalom,Spot,Spot
Panic Switch,Silversun Pickups,Swoon
Via Chicago,Wilco,Summerteeth
Brakhage,Stereolab,Dots And Loops
Possum Kingdom,Toadies,Rubberneck
Sketches of Winkle,Ween,The Pod
L'America,Spot,Spot
"Jesus, Etc.",Wilco,Yankee Hotel Foxtrot
Nothing Feels Good,The Promise Ring,Nothing Feels Good
Tyler,Toadies,Rubberneck
El Camino,Ween,God Ween Satan: The Oneness (Anniversary Edition)
Bus to Beelzebub,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Moon June Spoon,Spot,Spot
Gwan,The Suffers,The Suffers
Clap Hands,Tom Waits,Rain Dogs
Forget Me,The Promise Ring,Nothing Feels Good
You Are a Runner and I Am My Father's Son,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Death with Dignity,Sufjan Stevens,Carrie & Lowell
Parsec,Stereolab,Dots And Loops
Jersey Shore,The Promise Ring,Very Emergency
Superstition,Stevie Wonder,Number 1's
Unmarked Helicopters,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Raspberry Rush,The Promise Ring,Nothing Feels Good
Sucked Out,Superdrag,Regretfully Yours
One Of Hazy Days,Spot,Spot
Modern World,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Just,Radiohead,The Bends
Secret Knives,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Things I Don't Remember,Ugly Casanova,Sharpen Your Teeth (Bonus Track Version)
Maps,Yeah Yeah Yeahs,Fever To Tell (Explicit Version)
Same Ghost Every Night,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Screenwriter's Blues,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Sugar Kane,Sonic Youth,Dirty
Sky Blue Sky,Wilco,Sky Blue Sky
Somebody to Shove (2022 Remaster),Soul Asylum,Grave Dancers Union (2022 Remaster)
Escape Artist,Sage Francis,A Healthy Distrust
B Is For Bethlehem,The Promise Ring,Nothing Feels Good
True Dreams of Wichita,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
What I Got,Sublime,Sublime (Explicit Version)
Everyone's A Liar,Slow Roosevelt,Throw Away Your Stereo
Mutilated Lips,Ween,The Mollusk
Damn Fine Mule,Slow Roosevelt,Starving Saint Nick
Drown,The Smashing Pumpkins,(Rotten Apples) The Smashing Pumpkins Greatest Hits
Waving My Dick in the Wind,Ween,The Mollusk
Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)
Collapse,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Fodder,Spot,Spot
Reggaejunkiejew,Ween,Pure Guava
Barnacles,Ugly Casanova,Sharpen Your Teeth (Bonus Track Version)
In the Capital,Rolling Blackouts Coastal Fever,In the Capital
I Am Trying to Break Your Heart,Wilco,Yankee Hotel Foxtrot
Eyes,Rogue Wave,Eyes
Extra,Slow Roosevelt,Starving Saint Nick
Rolling,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Unity,Reel Big Fish,Keep Your Receipt
Miss Modular,Stereolab,Dots And Loops
Diagonals,Stereolab,Dots And Loops
Face Down In a Pillow,Slow Roosevelt,Starving Saint Nick
A Broken Tenor,The Promise Ring,Nothing Feels Good
SICKO MODE,Travis Scott,ASTROWORLD
Straight Thru The Sun's Head,Spot,Spot
Super Model,Slow Roosevelt,Starving Saint Nick
Sunflower (feat. Steve Lacy),Vampire Weekend,Sunflower / Big Blue
Mayonaise - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (2011 - Remaster)
Time of the Season - Mono Version,The Zombies,Time of the Season / She's Not There
Reptilia,The Strokes,Room On Fire
Detective Friend,Slow Roosevelt,Starving Saint Nick
Happiness Is All The Rage,The Promise Ring,Very Emergency
Hate It Here,Wilco,Sky Blue Sky
Zodiac Sign,Slow Roosevelt,Throw Away Your Stereo
Living Around,The Promise Ring,Very Emergency
I Confess to All This Mess,The Stereo,No Traffic
Janine,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
100%,Sonic Youth,Dirty
Ground,Spot,Spot
Freakazoid,Silversun Pickups,Freakazoid
Oxford Comma,Vampire Weekend,Vampire Weekend
Kiss Off - 2002 Remastered Version,Violent Femmes,Violent Femmes
Impossible Germany,Wilco,Sky Blue Sky
French Press,Rolling Blackouts Coastal Fever,French Press
Ocean Avenue,Yellowcard,Ocean Avenue
Africa,TOTO,Toto IV
Yonkers,"Tyler, The Creator",Goblin
Drop Down,Spot,Spot
Hole,Spot,Spot
My Valentine,Slow Roosevelt,Starving Saint Nick
Emergency! Emergency!,The Promise Ring,Very Emergency
St. Louise Is Listening,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
The Way Things Change,Yellow Days,The Way Things Change
Hollywood Movie Contract,Slow Roosevelt,Starving Saint Nick
Super Bon Bon - Propellerheads Radio Edit Version,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
DEATHCAMP (feat. Cole Alexander),"Tyler, The Creator",Cherry Bomb
Alabama Man,Slow Roosevelt,Starving Saint Nick
Lazy Eye,Silversun Pickups,Carnavas
We Built Another World,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
The Mollusk,Ween,The Mollusk
Remind Me - Radio Edit,Röyksopp,Melody AM
She's a Jar,Wilco,Summerteeth
Soundtrack to Mary,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Pumpin' 4 The Man,Ween,Pure Guava
Things Just Getting Good,The Promise Ring,Very Emergency
How to Fight Loneliness,Wilco,Summerteeth
Interstate Love Song,Stone Temple Pilots,Purple
Unbearably White,Vampire Weekend,This Life / Unbearably White
Rhinoceros - Remastered 2011,The Smashing Pumpkins,Gish
Cut A Wide Swath,Spot,Spot
Dear Sons and Daughters of Hungry Ghosts,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Happy Hour,The Promise Ring,Very Emergency
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition]
Trendy - Best Of,Reel Big Fish,A Best Of Us For The Rest Of Us - Bigger Better Deluxe Digital Version
Dirty Work,Steely Dan,Can't Buy A Thrill
Uninvited,Ruth Ruth,Laughing Gallery
Transdermal Celebration,Ween,Quebec
The Flower Called Nowhere,Stereolab,Dots And Loops
Get Set for Sound,The Stereo,No Traffic
Paint,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Cherub Rock - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (2011 - Remaster)
I Was Born (A Unicorn),The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered)
Summer Breeze,Seals and Crofts,Rhino Hi-Five: Seals & Crofts
The Deep South,The Promise Ring,Very Emergency
Piss up a Rope,Ween,12 Golden Country Greats
Teen Age Riot (Album Version),Sonic Youth,Daydream Nation (Deluxe Edition)
El Scorcho,Weezer,Pinkerton
Lousy Pictures,Wolf Parade,Apologies to the Queen Mary (Deluxe Edition)
Lazybones,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Detective Friend 98,Slow Roosevelt,Throw Away Your Stereo
Blueeyed Devil,Soul Coughing,Lust in Phaze: The Best of Soul Coughing
Fake Plastic Trees,Radiohead,The Bends
In the Meantime,Spacehog,Resident Alien
Shimmy Shimmy Ya,Ol' Dirty Bastard,Return to the 36 Chambers: The Dirty Version
Tennessee,Arrested Development,"3 Years, 5 Months And 2 Days In The Life Of..."
One More Murder,Better Than Ezra,Greatest Hits
Minerva,Deftones,Deftones
Savory - 2005 Remaster,Deftones,B-Sides & Rarities
Be Quiet and Drive (Far Away),Deftones,Around the Fur
Minus Blindfold,Deftones,Adrenaline
Bored,Deftones,Adrenaline
7 Words,Deftones,Adrenaline
Engine No. 9,Deftones,Adrenaline
Fell In Love With A Girl,The White Stripes,White Blood Cells
Talk To Strangers,Saul Williams,Saul Williams
Horizon to Cliff,Built To Spill,Untethered Moon
In the Air Tonight - 2015 Remaster,Phil Collins,Face Value (2016 Remaster)
Easy Lover,Philip Bailey,Chinese Wall (Expanded Edition)
You Can't Hurry Love - 2016 Remaster,Phil Collins,"Hello, I Must Be Going! (Deluxe Edition)"
Time - 2011 Remastered Version,Pink Floyd,The Dark Side Of The Moon (2011 Remastered Version)
The Choice Is Yours (Revisited),Black Sheep,A Wolf In Sheep's Clothing
Social,Squirtgun,Mallrats (Original Motion Picture Soundtrack)
Last Words,Jason Mewes,Mallrats (Original Motion Picture Soundtrack)
Mission Impossible #2,Jason Mewes,Mallrats (Original Motion Picture Soundtrack)
Build Me Up Buttercup,The Goops,Mallrats (Original Motion Picture Soundtrack)
Post Coital Techno Boogie,Jason Lee,Mallrats (Original Motion Picture Soundtrack)
A Very Uncomfortable Place,Jason Lee,Mallrats (Original Motion Picture Soundtrack)
Chinatown,Jets To Brazil,Orange Rhyming Dictionary
GRoCERIES,Chance the Rapper,GRoCERIES
Vasoline,Stone Temple Pilots,Purple
Don't Let The Bastards Grind You Down,The Toasters,Don't Let The Bastards Grind You Down
10001110101,Clutch,Robot Hive/Exodus (Bonus Track Version)
Circus Maximus,Clutch,Robot Hive/Exodus (Bonus Track Version)
Bullet Proof ... I Wish I Was,Radiohead,The Bends
Everyday Normal Guy 2,Jon Lajoie,You Want Some of This?
Everyday Normal Guy,Jon Lajoie,You Want Some of This?
Rain King,Counting Crows,August And Everything After
Careful What You Wish For,Raine Maida,The Hunter's Lullaby
Montreal,Raine Maida,We All Get Lighter
